abilities,bug,dark,dragon,electric,fairy,fight,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,health points,japanese_name,name,percentage_male,pokedex_number,special attack,special defense,speed,type1,type2,weight_kg,generation,is_legendary,image
['Shed Skin'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,20,3840,70,205,120,Cocoon Pokémon,55,1000000,0.7,50,Transelトランセル,metapod,50,11,25,25,30,bug,no secondary type,9.9,Generation 1,0,./assets/images/metapod.png
"['Compoundeyes', 'Tinted Lens']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,3840,70,395,45,Butterfly Pokémon,50,1000000,1.1,60,Butterfreeバタフリー,butterfree,50,12,90,80,70,bug,flying,32,Generation 1,0,./assets/images/butterfree.png
"['Shield Dust', 'Run Away']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,35,3840,70,195,255,Hairy Pokémon,30,1000000,0.3,40,Beedleビードル,weedle,50,13,20,20,50,bug,poison,3.2,Generation 1,0,./assets/images/weedle.png
['Shed Skin'],0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,25,3840,70,205,120,Cocoon Pokémon,50,1000000,0.6,45,Cocoonコクーン,kakuna,50,14,25,25,35,bug,poison,10,Generation 1,0,./assets/images/kakuna.png
"['Swarm', 'Sniper']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,150,3840,70,495,45,Poison Bee Pokémon,40,1000000,1,65,Spearスピアー,beedrill,50,15,15,80,145,bug,poison,29.5,Generation 1,0,./assets/images/beedrill.png
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,3840,70,251,255,Tiny Bird Pokémon,40,1059860,0.3,40,Poppoポッポ,pidgey,50,16,35,35,56,normal,flying,1.8,Generation 1,0,./assets/images/pidgey.png
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,349,120,Bird Pokémon,55,1059860,1.1,63,Pigeonピジョン,pidgeotto,50,17,50,50,71,normal,flying,30,Generation 1,0,./assets/images/pidgeotto.png
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,80,3840,70,579,45,Bird Pokémon,80,1059860,1.5,83,Pigeotピジョット,pidgeot,50,18,135,80,121,normal,flying,39.5,Generation 1,0,./assets/images/pidgeot.png
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,56,3840,70,253,255,Mouse Pokémon,35,1000000,0.3,30,Korattaコラッタ,rattata,50,19,25,35,72,normal,dark,3.5,Generation 1,0,./assets/images/rattata.png
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,71,3840,70,413,127,Mouse Pokémon,70,1000000,0.7,75,Rattaラッタ,raticate,50,20,40,80,77,normal,dark,18.5,Generation 1,0,./assets/images/raticate.png
"['Keen Eye', 'Sniper']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,262,255,Tiny Bird Pokémon,30,1000000,0.3,40,Onisuzumeオニスズメ,spearow,50,21,31,31,70,normal,flying,2,Generation 1,0,./assets/images/spearow.png
"['Keen Eye', 'Sniper']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,3840,70,442,90,Beak Pokémon,65,1000000,1.2,65,Onidrillオニドリル,fearow,50,22,61,61,100,normal,flying,38,Generation 1,0,./assets/images/fearow.png
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,60,5120,70,288,255,Snake Pokémon,44,1000000,2,35,Arboアーボ,ekans,50,23,40,54,55,poison,no secondary type,6.9,Generation 1,0,./assets/images/ekans.png
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,95,5120,70,448,90,Cobra Pokémon,69,1000000,3.5,60,Arbokアーボック,arbok,50,24,65,79,80,poison,no secondary type,65,Generation 1,0,./assets/images/arbok.png
"['Static', 'Lightningrod']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,2560,70,320,190,Mouse Pokémon,40,1000000,0.4,35,Pikachuピカチュウ,pikachu,50,25,50,50,90,electric,no secondary type,6,Generation 1,0,./assets/images/pikachu.png
"['Static', 'Lightningrod', 'Surge Surfer']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,2560,70,485,75,Mouse Pokémon,50,1000000,0.8,60,Raichuライチュウ,raichu,50,26,95,85,110,electric,electric,30,Generation 1,0,./assets/images/raichu.png
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,75,5120,70,300,255,Mouse Pokémon,90,1000000,0.6,50,Sandサンド,sandshrew,50,27,10,35,40,ground,ice,12,Generation 1,0,./assets/images/sandshrew.png
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,450,90,Mouse Pokémon,120,1000000,1,75,Sandpanサンドパン,sandslash,50,28,25,65,65,ground,ice,29.5,Generation 1,0,./assets/images/sandslash.png
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,62,5120,70,365,120,Poison Pin Pokémon,67,1059860,0.8,70,Nidorinaニドリーナ,nidorina,0,30,55,55,56,poison,no secondary type,20,Generation 1,0,./assets/images/nidorina.png
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,92,5120,70,505,45,Drill Pokémon,87,1059860,1.3,90,Nidoqueenニドクイン,nidoqueen,0,31,75,85,76,poison,ground,60,Generation 1,0,./assets/images/nidoqueen.png
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,72,5120,70,365,120,Poison Pin Pokémon,57,1059860,0.9,61,Nidorinoニドリーノ,nidorino,100,33,55,55,65,poison,no secondary type,19.5,Generation 1,0,./assets/images/nidorino.png
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,102,5120,70,505,45,Drill Pokémon,77,1059860,1.4,81,Nidokingニドキング,nidoking,100,34,85,75,85,poison,ground,62,Generation 1,0,./assets/images/nidoking.png
"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,45,2560,140,323,150,Fairy Pokémon,48,800000,0.6,70,Pippiピッピ,clefairy,24.6,35,60,65,35,fairy,no secondary type,7.5,Generation 1,0,./assets/images/clefairy.png
"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,70,2560,140,483,25,Fairy Pokémon,73,800000,1.3,95,Pixyピクシー,clefable,24.6,36,95,90,60,fairy,no secondary type,40,Generation 1,0,./assets/images/clefable.png
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,41,5120,70,299,190,Fox Pokémon,40,1000000,0.6,38,Rokonロコン,vulpix,24.6,37,50,65,65,fire,ice,9.9,Generation 1,0,./assets/images/vulpix.png
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,67,5120,70,505,75,Fox Pokémon,75,1000000,1.1,73,Kyukonキュウコン,ninetales,24.6,38,81,100,109,fire,ice,19.9,Generation 1,0,./assets/images/ninetales.png
"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,45,2560,70,270,170,Balloon Pokémon,20,800000,0.5,115,Purinプリン,jigglypuff,24.6,39,45,25,20,normal,fairy,5.5,Generation 1,0,./assets/images/jigglypuff.png
"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,70,2560,70,435,50,Balloon Pokémon,45,800000,1,140,Pukurinプクリン,wigglytuff,24.6,40,85,50,45,normal,fairy,12,Generation 1,0,./assets/images/wigglytuff.png
"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,45,3840,70,245,255,Bat Pokémon,35,1000000,0.8,40,Zubatズバット,zubat,50,41,30,40,55,poison,flying,7.5,Generation 1,0,./assets/images/zubat.png
"['Inner Focus', 'Infiltrator']",0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,80,3840,70,455,90,Bat Pokémon,70,1000000,1.6,75,Golbatゴルバット,golbat,50,42,65,75,90,poison,flying,55,Generation 1,0,./assets/images/golbat.png
"['Chlorophyll', 'Run Away']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,5120,70,320,255,Weed Pokémon,55,1059860,0.5,45,Nazonokusaナゾノクサ,oddish,50,43,75,65,30,grass,poison,5.4,Generation 1,0,./assets/images/oddish.png
"['Chlorophyll', 'Stench']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,65,5120,70,395,120,Weed Pokémon,70,1059860,0.8,60,Kusaihanaクサイハナ,gloom,50,44,85,75,40,grass,poison,8.6,Generation 1,0,./assets/images/gloom.png
"['Chlorophyll', 'Effect Spore']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,80,5120,70,490,45,Flower Pokémon,85,1059860,1.2,75,Ruffresiaラフレシア,vileplume,50,45,110,90,50,grass,poison,18.6,Generation 1,0,./assets/images/vileplume.png
"['Effect Spore', 'Dry Skin', 'Damp']",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,70,5120,70,285,190,Mushroom Pokémon,55,1000000,0.3,35,Parasパラス,paras,50,46,45,55,25,bug,grass,5.4,Generation 1,0,./assets/images/paras.png
"['Effect Spore', 'Dry Skin', 'Damp']",2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,95,5120,70,405,75,Mushroom Pokémon,80,1000000,1,60,Parasectパラセクト,parasect,50,47,60,80,30,bug,grass,29.5,Generation 1,0,./assets/images/parasect.png
"['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,55,5120,70,305,190,Insect Pokémon,50,1000000,1,60,Kongpangコンパン,venonat,50,48,40,55,45,bug,poison,30,Generation 1,0,./assets/images/venonat.png
"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,65,5120,70,450,75,Poison Moth Pokémon,60,1000000,1.5,70,Morphonモルフォン,venomoth,50,49,90,75,90,bug,poison,12.5,Generation 1,0,./assets/images/venomoth.png
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,55,5120,70,265,255,Mole Pokémon,30,1000000,0.2,10,Digdaディグダ,diglett,50,50,35,45,90,ground,ground,0.8,Generation 1,0,./assets/images/diglett.png
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,425,50,Mole Pokémon,60,1000000,0.7,35,Dugtrioダグトリオ,dugtrio,50,51,50,70,110,ground,ground,33.3,Generation 1,0,./assets/images/dugtrio.png
"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,35,5120,70,290,255,Scratch Cat Pokémon,35,1000000,0.4,40,Nyarthニャース,meowth,50,52,50,40,90,normal,dark,4.2,Generation 1,0,./assets/images/meowth.png
"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,5120,70,440,90,Classy Cat Pokémon,60,1000000,1,65,Persianペルシアン,persian,50,53,75,65,115,normal,dark,32,Generation 1,0,./assets/images/persian.png
"['Damp', 'Cloud Nine', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,52,5120,70,320,190,Duck Pokémon,48,1000000,0.8,50,Koduckコダック,psyduck,50,54,65,50,55,water,no secondary type,19.6,Generation 1,0,./assets/images/psyduck.png
"['Damp', 'Cloud Nine', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,82,5120,70,500,75,Duck Pokémon,78,1000000,1.7,80,Golduckゴルダック,golduck,50,55,95,80,85,water,no secondary type,76.6,Generation 1,0,./assets/images/golduck.png
"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,305,190,Pig Monkey Pokémon,35,1000000,0.5,40,Mankeyマンキー,mankey,50,56,35,45,70,fighting,no secondary type,28,Generation 1,0,./assets/images/mankey.png
"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,5120,70,455,75,Pig Monkey Pokémon,60,1000000,1,65,Okorizaruオコリザル,primeape,50,57,60,70,95,fighting,no secondary type,32,Generation 1,0,./assets/images/primeape.png
"['Intimidate', 'Flash Fire', 'Justified']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,5120,70,350,190,Puppy Pokémon,45,1250000,0.7,55,Gardieガーディ,growlithe,75.4,58,70,50,60,fire,no secondary type,19,Generation 1,0,./assets/images/growlithe.png
"['Intimidate', 'Flash Fire', 'Justified']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,110,5120,70,555,75,Legendary Pokémon,80,1250000,1.9,90,Windieウインディ,arcanine,75.4,59,100,80,95,fire,no secondary type,155,Generation 1,0,./assets/images/arcanine.png
"['Water Absorb', 'Damp', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,300,255,Tadpole Pokémon,40,1059860,0.6,40,Nyoromoニョロモ,poliwag,50,60,40,40,90,water,no secondary type,12.4,Generation 1,0,./assets/images/poliwag.png
"['Water Absorb', 'Damp', 'Swift Swim']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,385,120,Tadpole Pokémon,65,1059860,1,65,Nyorozoニョロゾ,poliwhirl,50,61,50,50,90,water,no secondary type,20,Generation 1,0,./assets/images/poliwhirl.png
"['Water Absorb', 'Damp', 'Swift Swim']",0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,95,5120,70,510,45,Tadpole Pokémon,95,1059860,1.3,90,Nyorobonニョロボン,poliwrath,50,62,70,90,70,water,fighting,54,Generation 1,0,./assets/images/poliwrath.png
"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,20,5120,70,310,200,Psi Pokémon,15,1059860,0.9,25,Caseyケーシィ,abra,75.4,63,105,55,90,psychic,no secondary type,19.5,Generation 1,0,./assets/images/abra.png
"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,35,5120,70,400,100,Psi Pokémon,30,1059860,1.3,40,Yungererユンゲラー,kadabra,75.4,64,120,70,105,psychic,no secondary type,56.5,Generation 1,0,./assets/images/kadabra.png
"['Synchronize', 'Inner Focus', 'Magic Guard']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,5120,70,600,50,Psi Pokémon,65,1059860,1.5,55,Foodinフーディン,alakazam,75.4,65,175,105,150,psychic,no secondary type,48,Generation 1,0,./assets/images/alakazam.png
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,305,180,Superpower Pokémon,50,1059860,0.8,70,Wanrikyワンリキー,machop,75.4,66,35,35,35,fighting,no secondary type,19.5,Generation 1,0,./assets/images/machop.png
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,100,5120,70,405,90,Superpower Pokémon,70,1059860,1.5,80,Gorikyゴーリキー,machoke,75.4,67,50,60,45,fighting,no secondary type,70.5,Generation 1,0,./assets/images/machoke.png
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,130,5120,70,505,45,Superpower Pokémon,80,1059860,1.6,90,Kairikyカイリキー,machamp,75.4,68,65,85,55,fighting,no secondary type,130,Generation 1,0,./assets/images/machamp.png
"['Chlorophyll', 'Gluttony']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,75,5120,70,300,255,Flower Pokémon,35,1059860,0.7,50,Madatsubomiマダツボミ,bellsprout,50,69,70,30,40,grass,poison,4,Generation 1,0,./assets/images/bellsprout.png
"['Chlorophyll', 'Gluttony']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,90,5120,70,390,120,Flycatcher Pokémon,50,1059860,1,65,Utsudonウツドン,weepinbell,50,70,85,45,55,grass,poison,6.4,Generation 1,0,./assets/images/weepinbell.png
"['Chlorophyll', 'Gluttony']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,105,5120,70,490,45,Flycatcher Pokémon,65,1059860,1.7,80,Utsubotウツボット,victreebel,50,71,100,70,70,grass,poison,15.5,Generation 1,0,./assets/images/victreebel.png
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,40,5120,70,335,190,Jellyfish Pokémon,35,1250000,0.9,40,Menokurageメノクラゲ,tentacool,50,72,50,100,70,water,poison,45.5,Generation 1,0,./assets/images/tentacool.png
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,70,5120,70,515,60,Jellyfish Pokémon,65,1250000,1.6,80,Dokukurageドククラゲ,tentacruel,50,73,80,120,100,water,poison,55,Generation 1,0,./assets/images/tentacruel.png
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,80,3840,70,300,255,Rock Pokémon,100,1059860,0.4,40,Isitsubuteイシツブテ,geodude,50,74,30,30,20,rock,ground,20,Generation 1,0,./assets/images/geodude.png
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,95,3840,70,390,120,Rock Pokémon,115,1059860,1,55,Goloneゴローン,graveler,50,75,45,45,35,rock,ground,105,Generation 1,0,./assets/images/graveler.png
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,120,3840,70,495,45,Megaton Pokémon,130,1059860,1.4,80,Golonyaゴローニャ,golem,50,76,55,65,45,rock,ground,300,Generation 1,0,./assets/images/golem.png
"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,85,5120,70,410,190,Fire Horse Pokémon,55,1000000,1,50,Ponytaポニータ,ponyta,50,77,65,65,90,fire,no secondary type,30,Generation 1,0,./assets/images/ponyta.png
"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,100,5120,70,500,60,Fire Horse Pokémon,70,1000000,1.7,65,Gallopギャロップ,rapidash,50,78,80,80,105,fire,no secondary type,95,Generation 1,0,./assets/images/rapidash.png
"['Oblivious', 'Own Tempo', 'Regenerator']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,65,5120,70,315,190,Dopey Pokémon,65,1000000,1.2,90,Yadonヤドン,slowpoke,50,79,40,40,15,water,psychic,36,Generation 1,0,./assets/images/slowpoke.png
"['Oblivious', 'Own Tempo', 'Regenerator']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,590,75,Hermit Crab Pokémon,180,1000000,1.6,95,Yadoranヤドラン,slowbro,50,80,130,80,30,water,psychic,78.5,Generation 1,0,./assets/images/slowbro.png
"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,35,5120,70,325,190,Magnet Pokémon,70,1000000,0.3,25,Coilコイル,magnemite,,81,95,55,45,electric,steel,6,Generation 1,0,./assets/images/magnemite.png
"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,60,5120,70,465,60,Magnet Pokémon,95,1000000,1,50,Rarecoilレアコイル,magneton,,82,120,70,70,electric,steel,60,Generation 1,0,./assets/images/magneton.png
"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,85,5120,70,310,190,Twin Bird Pokémon,45,1000000,1.4,35,Dodoドードー,doduo,50,84,35,35,75,normal,flying,39.2,Generation 1,0,./assets/images/doduo.png
"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,110,5120,70,470,45,Triple Bird Pokémon,70,1000000,1.8,60,Dodorioドードリオ,dodrio,50,85,60,60,110,normal,flying,85.2,Generation 1,0,./assets/images/dodrio.png
"['Thick Fat', 'Hydration', 'Ice Body']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5120,70,325,190,Sea Lion Pokémon,55,1000000,1.1,65,Pawouパウワウ,seel,50,86,45,70,45,water,no secondary type,90,Generation 1,0,./assets/images/seel.png
"['Thick Fat', 'Hydration', 'Ice Body']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,70,5120,70,475,75,Sea Lion Pokémon,80,1000000,1.7,90,Jugonジュゴン,dewgong,50,87,70,95,70,water,ice,120,Generation 1,0,./assets/images/dewgong.png
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,80,5120,70,325,190,Sludge Pokémon,50,1000000,0.9,80,Betbeterベトベター,grimer,50,88,40,50,25,poison,poison,30,Generation 1,0,./assets/images/grimer.png
